==== Logging ASAMI ====
t, Ws_t, Wa_t, gtDistance
31.267,-143.514,-156.615,2686.919
31.333,-144.325,-158.393,2727.209
31.367,-144.850,-159.056,2473.132
31.400,-145.395,-159.729,2351.082
31.433,-145.979,-160.414,2415.826
31.467,-146.526,-161.108,2379.639
31.533,-147.400,-163.006,2579.380
31.567,-147.892,-163.700,2711.274
31.633,-148.852,-165.644,2370.034
31.667,-149.439,-166.344,2628.479
31.767,-150.775,-167.116,2715.198
31.867,-152.002,-166.758,2634.465
31.900,-152.516,-166.356,2504.733
32.000,-153.802,-166.229,2663.684
32.033,-154.308,-165.953,2536.321
32.067,-154.829,-165.716,2661.997
32.100,-155.255,-165.513,2366.802
32.133,-155.702,-165.344,2395.592
32.167,-156.199,-165.210,2474.403
32.333,-157.822,-165.996,2767.565
32.367,-158.274,-165.982,2627.073
32.400,-158.650,-165.993,2409.437
32.433,-159.013,-166.028,2486.640
32.533,-160.156,-166.707,2676.936
32.600,-160.850,-167.156,2470.411
32.633,-161.232,-167.299,2661.328
32.667,-161.626,-167.462,2630.879
32.700,-162.051,-167.646,2631.871
32.733,-162.440,-167.849,2802.544
32.833,-163.392,-168.904,2903.020
32.867,-163.727,-169.157,2488.324
32.900,-164.078,-169.425,2801.330
32.933,-164.495,-169.710,2753.539
32.967,-164.829,-170.010,2700.017
33.000,-165.142,-170.321,2692.825
33.067,-165.843,-171.156,2485.044
33.100,-166.269,-171.504,2836.757
33.133,-166.584,-171.863,2755.346
33.167,-166.929,-172.233,2770.219
33.233,-167.638,-173.186,2713.152
33.267,-167.990,-173.584,2713.518
33.300,-168.306,-173.991,2582.596
33.333,-168.652,-174.409,2748.476
33.367,-169.051,-174.838,2514.173
33.433,-169.723,-175.919,2716.076
33.467,-170.099,-176.369,2966.875
33.500,-170.518,-176.830,2961.477
33.567,-171.205,-177.992,2652.598
33.600,-171.533,-178.469,2528.069
33.667,-172.311,-179.686,2845.364
33.700,-172.642,-180.181,2546.886
33.733,-173.034,-180.684,2678.687
33.833,-174.024,-182.759,2859.557
33.867,-174.367,-183.269,2872.001
33.900,-174.808,-183.789,2597.995
33.933,-175.207,-184.317,2674.645
33.967,-175.656,-184.855,2767.564
34.000,-176.008,-185.399,2537.521
34.033,-176.378,-185.949,2849.163
34.067,-176.762,-186.505,2871.779
34.100,-177.195,-187.070,2676.549
34.167,-177.941,-188.552,2752.375
34.200,-178.376,-189.125,2853.071
34.233,-178.816,-189.705,2900.079
34.267,-179.209,-190.291,2801.381
34.300,-179.595,-190.882,2966.405
34.333,-179.991,-191.479,2714.032
34.367,-180.377,-192.081,2559.513
34.400,-180.822,-192.691,2878.094
34.433,-181.253,-193.306,3041.343
34.500,-181.857,-192.870,2678.553
34.533,-182.204,-192.461,3005.071
34.567,-182.474,-192.112,2715.764
34.600,-182.769,-191.768,2751.296
34.667,-183.166,-191.369,2696.199
34.733,-183.469,-190.929,2695.674
34.767,-183.623,-190.573,2649.996
34.800,-183.771,-190.218,2995.623
34.833,-183.892,-189.863,2928.526
34.867,-184.000,-189.507,2920.543
35.000,-184.102,-188.524,2643.191
35.067,-184.092,-187.879,2950.913
35.100,-184.083,-187.479,2796.247
35.133,-184.057,-187.076,2951.294
35.167,-184.024,-186.670,2983.843
35.333,-183.574,-184.801,3100.347
35.367,-183.474,-184.745,2759.182
35.433,-183.189,-184.633,3050.455
35.467,-183.074,-184.565,2859.476
35.500,-182.927,-184.478,2951.568
35.567,-182.604,-184.304,2789.188
35.633,-182.284,-184.061,3002.873
35.667,-182.150,-183.987,2910.904
35.700,-181.950,-183.897,2880.113
35.733,-181.807,-183.795,2902.930
35.767,-181.597,-183.678,2816.971
35.800,-181.451,-183.550,2789.567
35.833,-181.286,-183.410,3077.872
35.900,-180.904,-183.304,2803.780
35.933,-180.727,-183.196,2766.142
36.000,-180.311,-183.032,2973.303
36.033,-180.100,-182.889,2831.274
36.067,-179.960,-182.739,2873.236
36.133,-179.577,-182.507,2545.074
36.167,-179.409,-182.329,2822.219
36.233,-179.079,-182.048,2765.310
